id,team_api_id,team_long_name,team_short_name
43035,10267,Valencia CF,VAL
43036,8661,RCD Mallorca,MAL
43037,8371,CA Osasuna,OSA
43038,10205,Villarreal CF,VIL
43039,9783,RC Deportivo de La Coruña,COR
43040,8633,Real Madrid CF,REA
43042,8634,FC Barcelona,BAR
43043,8696,Racing Santander,SAN
43044,8302,Sevilla FC,SEV
43045,9869,Real Sporting de Gijón,SPG
43046,8305,Getafe CF,GET
43047,8603,Real Betis Balompié,BET
43049,8558,RCD Espanyol,ESP
43050,10281,Real Valladolid,VAL
43051,8315,Athletic Club de Bilbao,BIL
43052,9865,UD Almería,ALM
43053,9906,Atlético Madrid,AMA
43054,9864,Málaga CF,MAL
43803,8394,Real Zaragoza,ZAR
44565,8581,Levante UD,LEV
44569,8560,Real Sociedad,SOC
45330,7878,Granada CF,GRA
45333,8370,Rayo Vallecano,RAY
46087,9910,RC Celta de Vigo,CEL
46848,10268,Elche CF,ELC
47605,8372,SD Eibar,EIB
47612,7869,Córdoba CF,COR
